STATE,REGION,PMS,AGO,DPK,LPG,Date,Change in PMS,Change in AGO,Change in DPK,Change in LPG
,National,"₦1,176.92",₦970.77,"₦1,325.84","₦1,233.60",10-Apr-25,₦1.85,₦0.04,-₦0.07,-₦2.81
Abuja,North Central,"₦1,169.80",₦948.29,"₦1,275.00","₦1,214.00",10-Apr-25,-₦1.70,₦0.08,₦0.00,-₦13.50
Benue,North Central,"₦1,171.00",₦999.00,₦0.00,"₦1,300.00",10-Apr-25,-₦2.00,₦2.50,₦0.00,₦0.00
Kogi,North Central,"₦1,158.50",₦949.38,"₦1,425.00","₦1,304.38",10-Apr-25,₦1.25,₦0.00,₦0.00,₦0.00
Kwara,North Central,"₦1,200.00","₦1,026.88","₦1,225.00","₦1,400.00",10-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Nasarawa,North Central,"₦1,175.00",₦979.29,"₦1,500.00","₦1,366.67",10-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Niger,North Central,"₦1,155.00",₦950.29,"₦1,475.00","₦1,145.00",10-Apr-25,₦0.00,-₦1.38,"₦1,475.00",-₦5.00
Plateau,North Central,"₦1,288.89",₦968.89,"₦1,266.67","₦1,247.78",10-Apr-25,-₦11.11,-₦10.00,-₦16.66,-₦13.33
Adamawa,North East,"₦1,177.22",₦981.11,"₦1,265.56","₦1,210.00",10-Apr-25,₦0.00,-₦1.67,₦0.00,₦0.00
Bauchi,North East,"₦1,262.86",₦991.43,"₦1,472.86","₦1,197.14",10-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Borno,North East,"₦1,202.22","₦1,077.78","₦1,475.00","₦1,400.00",10-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Gombe,North East,"₦1,168.89",₦967.22,"₦1,428.89","₦1,238.89",10-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Taraba,North East,"₦1,195.56",₦987.78,"₦1,487.50","₦1,337.50",10-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Yobe,North East,"₦1,247.78","₦1,025.00","₦1,302.78","₦1,168.89",10-Apr-25,₦0.56,₦0.56,-₦10.00,-₦1.11
Jigawa,North West,"₦1,225.00",₦982.22,"₦1,377.50","₦1,180.00",10-Apr-25,₦25.00,₦8.89,₦90.83,-₦26.67
Kaduna,North West,"₦1,190.00","₦1,077.56","₦1,300.00","₦1,137.50",10-Apr-25,₦0.00,₦0.12,₦0.00,₦0.00
Kano,North West,"₦1,176.43",₦954.50,"₦1,250.00","₦1,400.00",10-Apr-25,-₦1.28,₦0.25,₦0.00,₦0.00
Katsina,North West,"₦1,167.14",₦972.50,"₦1,328.57","₦1,294.00",10-Apr-25,-₦1.43,₦0.00,-₦7.14,₦6.00
Kebbi,North West,"₦1,176.43",₦953.88,"₦1,250.00","₦1,400.00",10-Apr-25,₦0.00,₦0.38,₦0.00,₦0.00
Sokoto,North West,"₦1,159.09",₦975.45,"₦1,300.00","₦1,146.67",10-Apr-25,₦0.52,-₦3.12,₦0.00,₦6.67
Zamfara,North West,"₦1,167.50","₦1,081.63","₦1,200.00","₦1,195.00",10-Apr-25,-₦2.50,-₦11.94,₦0.00,-₦20.71
Abia,South East,"₦1,272.50",₦955.63,"₦1,302.86","₦1,300.00",10-Apr-25,-₦3.21,-₦5.08,-₦0.47,₦0.00
Anambra,South East,"₦1,267.14",₦947.14,"₦1,330.00","₦1,230.00",10-Apr-25,₦77.76,-₦2.86,-₦3.33,-₦3.33
Ebonyi,South East,"₦1,120.00",₦973.75,"₦1,500.00","₦1,250.00",10-Apr-25,₦0.00,-₦1.25,₦0.00,₦0.00
Enugu,South East,"₦1,262.50",₦961.25,"₦1,300.00","₦1,400.00",10-Apr-25,-₦12.50,₦1.25,₦0.00,₦12.50
Imo,South East,"₦1,277.50",₦958.75,"₦1,302.86","₦1,300.00",10-Apr-25,-₦11.07,₦7.32,₦2.86,₦0.00
Akwa Ibom,South South,"₦1,162.86",₦957.50,"₦1,221.43","₦1,111.43",10-Apr-25,₦2.86,₦2.50,₦4.76,-₦7.14
Bayelsa,South South,"₦1,161.00",₦981.25,₦0.00,"₦1,100.00",10-Apr-25,-₦4.00,-₦1.25,₦0.00,₦0.00
Cross River,South South,"₦1,283.33",₦966.17,"₦1,220.00","₦1,300.00",10-Apr-25,₦0.00,₦4.50,₦0.00,₦0.00
Delta,South South,"₦1,152.86",₦976.43,"₦1,323.00","₦1,292.86",10-Apr-25,-₦3.39,₦0.18,-₦41.17,₦19.11
Edo,South South,"₦1,213.33",₦967.14,₦0.00,"₦1,300.00",10-Apr-25,₦13.33,₦2.97,₦0.00,₦0.00
Rivers,South South,"₦1,220.00",₦965.71,"₦1,200.00","₦1,325.00",10-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Ekiti,South West,"₦1,143.33",₦946.11,"₦1,185.71","₦1,225.00",10-Apr-25,₦0.00,₦0.55,₦0.00,₦66.67
Lagos,South West,"₦1,105.31",₦928.90,"₦1,450.00","₦1,110.94",10-Apr-25,-₦1.04,-₦0.28,₦0.00,₦0.00
Ogun,South West,"₦1,123.57",₦935.00,"₦1,281.50","₦1,093.33",10-Apr-25,₦0.00,₦0.00,₦0.00,₦1.66
Ondo,South West,"₦1,139.00",₦959.50,"₦1,305.38","₦1,248.13",10-Apr-25,₦0.00,-₦0.63,₦0.00,-₦5.62
Osun,South West,"₦1,118.13",₦934.38,"₦1,290.00","₦1,300.00",10-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Oyo,South West,"₦1,112.86",₦940.71,"₦1,350.00","₦1,100.00",10-Apr-25,₦0.00,₦3.57,₦0.00,₦0.00
,National,₦969.32,"₦1,174.81","₦1,325.57","₦1,232.18",11-Apr-25,-₦207.60,₦204.04,-₦0.27,-₦1.42
Abuja,North Central,₦949.38,"₦1,169.67","₦1,175.00","₦1,256.67",11-Apr-25,-₦220.42,₦221.38,-₦100.00,₦42.67
Benue,North Central,"₦1,008.00","₦1,172.50",₦0.00,"₦1,300.00",11-Apr-25,-₦163.00,₦173.50,₦0.00,₦0.00
Kogi,North Central,₦949.38,"₦1,158.50","₦1,425.00","₦1,304.38",11-Apr-25,-₦209.12,₦209.12,₦0.00,₦0.00
Kwara,North Central,₦982.50,"₦1,200.00","₦1,225.00","₦1,400.00",11-Apr-25,-₦217.50,₦173.12,₦0.00,₦0.00
Nasarawa,North Central,₦955.00,"₦1,150.00","₦1,425.00","₦1,232.50",11-Apr-25,-₦220.00,₦170.71,-₦75.00,-₦134.17
Niger,North Central,₦950.29,"₦1,155.00","₦1,475.00","₦1,145.00",11-Apr-25,-₦204.71,₦204.71,₦0.00,₦0.00
Plateau,North Central,₦971.11,"₦1,288.89","₦1,266.67","₦1,247.78",11-Apr-25,-₦317.78,₦320.00,₦0.00,₦0.00
Adamawa,North East,₦981.11,"₦1,177.22","₦1,261.11","₦1,208.89",11-Apr-25,-₦196.11,₦196.11,-₦4.45,-₦1.11
Bauchi,North East,₦986.88,"₦1,262.86","₦1,472.86","₦1,197.14",11-Apr-25,-₦275.98,₦271.43,₦0.00,₦0.00
Borno,North East,"₦1,077.78","₦1,202.22","₦1,475.00","₦1,400.00",11-Apr-25,-₦124.44,₦124.44,₦0.00,₦0.00
Gombe,North East,₦967.22,"₦1,168.89","₦1,428.89","₦1,238.89",11-Apr-25,-₦201.67,₦201.67,₦0.00,₦0.00
Taraba,North East,₦988.75,"₦1,197.50","₦1,492.86","₦1,350.00",11-Apr-25,-₦206.81,₦209.72,₦5.36,₦12.50
Yobe,North East,"₦1,022.78","₦1,243.33","₦1,319.44","₦1,169.44",11-Apr-25,-₦225.00,₦218.33,₦16.66,₦0.55
Jigawa,North West,₦982.22,"₦1,225.00","₦1,377.50","₦1,180.00",11-Apr-25,-₦242.78,₦242.78,₦0.00,₦0.00
Kaduna,North West,"₦1,077.56","₦1,190.00","₦1,300.00","₦1,137.50",11-Apr-25,-₦112.44,₦112.44,₦0.00,₦0.00
Kano,North West,₦955.75,"₦1,176.43","₦1,250.00","₦1,400.00",11-Apr-25,-₦220.68,₦221.93,₦0.00,₦0.00
Katsina,North West,₦975.63,"₦1,170.00","₦1,328.57","₦1,326.00",11-Apr-25,-₦191.51,₦197.50,₦0.00,₦32.00
Kebbi,North West,₦953.88,"₦1,176.43","₦1,255.00","₦1,400.00",11-Apr-25,-₦222.55,₦222.55,₦5.00,₦0.00
Sokoto,North West,₦977.50,"₦1,163.75","₦1,300.00","₦1,146.00",11-Apr-25,-₦181.59,₦188.30,₦0.00,-₦0.67
Zamfara,North West,"₦1,081.63","₦1,167.50","₦1,200.00","₦1,195.00",11-Apr-25,-₦85.87,₦85.87,₦0.00,₦0.00
Abia,South East,₦955.63,"₦1,272.50","₦1,302.86","₦1,300.00",11-Apr-25,-₦316.87,₦316.87,₦0.00,₦0.00
Anambra,South East,₦953.75,"₦1,194.38","₦1,350.00","₦1,250.00",11-Apr-25,-₦313.39,₦247.24,₦20.00,₦20.00
Ebonyi,South East,₦975.00,"₦1,120.00","₦1,500.00","₦1,250.00",11-Apr-25,-₦145.00,₦146.25,₦0.00,₦0.00
Enugu,South East,₦961.25,"₦1,262.50","₦1,300.00","₦1,400.00",11-Apr-25,-₦301.25,₦301.25,₦0.00,₦0.00
Imo,South East,₦947.50,"₦1,277.50","₦1,300.00","₦1,300.00",11-Apr-25,-₦330.00,₦318.75,-₦2.86,₦0.00
Akwa Ibom,South South,₦957.50,"₦1,162.86","₦1,221.43","₦1,108.57",11-Apr-25,-₦205.36,₦205.36,₦0.00,-₦2.86
Bayelsa,South South,₦981.25,"₦1,161.00",₦0.00,"₦1,100.00",11-Apr-25,-₦179.75,₦179.75,₦0.00,₦0.00
Cross River,South South,₦949.63,"₦1,260.00","₦1,220.00","₦1,300.00",11-Apr-25,-₦333.70,₦293.83,₦0.00,₦0.00
Delta,South South,₦975.00,"₦1,152.14","₦1,367.00","₦1,270.00",11-Apr-25,-₦177.86,₦175.71,₦44.00,-₦22.86
Edo,South South,₦968.33,"₦1,200.00",₦0.00,"₦1,300.00",11-Apr-25,-₦245.00,₦232.86,₦0.00,₦0.00
Rivers,South South,₦969.00,"₦1,220.00","₦1,200.00","₦1,312.50",11-Apr-25,-₦251.00,₦254.29,₦0.00,-₦12.50
Ekiti,South West,₦946.11,"₦1,143.33","₦1,185.71","₦1,225.00",11-Apr-25,-₦197.22,₦197.22,₦0.00,₦0.00
Lagos,South West,₦928.31,"₦1,104.94","₦1,450.00","₦1,110.94",11-Apr-25,-₦177.00,₦176.04,₦0.00,₦0.00
Ogun,South West,₦934.38,"₦1,125.63","₦1,281.50","₦1,107.14",11-Apr-25,-₦189.19,₦190.63,₦0.00,₦13.81
Ondo,South West,₦960.13,"₦1,139.00","₦1,305.38","₦1,253.75",11-Apr-25,-₦178.87,₦179.50,₦0.00,₦5.62
Osun,South West,₦934.38,"₦1,118.13","₦1,290.00","₦1,300.00",11-Apr-25,-₦183.75,₦183.75,₦0.00,₦0.00
Oyo,South West,₦939.38,"₦1,115.00","₦1,350.00","₦1,100.00",11-Apr-25,-₦173.48,₦174.29,₦0.00,₦0.00
,National,₦969.74,"₦1,174.75","₦1,327.51","₦1,232.57",14-Apr-25,₦0.42,-₦0.06,₦1.94,₦0.39
Abuja,North Central,₦951.79,"₦1,169.83","₦1,277.25","₦1,215.00",14-Apr-25,₦2.41,₦0.16,₦102.25,-₦41.67
Benue,North Central,"₦1,003.50","₦1,158.75",₦0.00,"₦1,300.00",14-Apr-25,-₦4.50,-₦13.75,₦0.00,₦0.00
Kogi,North Central,₦949.38,"₦1,157.25","₦1,425.00","₦1,304.38",14-Apr-25,₦0.00,-₦1.25,₦0.00,₦0.00
Kwara,North Central,₦982.50,"₦1,200.00","₦1,225.00","₦1,400.00",14-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Nasarawa,North Central,₦988.75,"₦1,166.67","₦1,500.00","₦1,366.67",14-Apr-25,₦33.75,₦16.67,₦75.00,₦134.17
Niger,North Central,₦950.29,"₦1,155.00","₦1,475.00","₦1,145.00",14-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Plateau,North Central,₦971.11,"₦1,288.89","₦1,266.67","₦1,247.78",14-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Adamawa,North East,₦980.00,"₦1,177.22","₦1,264.44","₦1,210.00",14-Apr-25,-₦1.11,₦0.00,₦3.33,₦1.11
Bauchi,North East,₦986.88,"₦1,262.86","₦1,472.86","₦1,197.14",14-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Borno,North East,"₦1,077.78","₦1,202.22","₦1,475.00","₦1,400.00",14-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Gombe,North East,₦967.22,"₦1,168.89","₦1,428.89","₦1,238.89",14-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Taraba,North East,₦987.22,"₦1,195.56","₦1,487.50","₦1,337.50",14-Apr-25,-₦1.53,-₦1.94,-₦5.36,-₦12.50
Yobe,North East,"₦1,012.78","₦1,247.78","₦1,318.89","₦1,170.56",14-Apr-25,-₦10.00,₦4.45,-₦0.55,₦1.12
Jigawa,North West,₦980.56,"₦1,225.00","₦1,377.50","₦1,180.00",14-Apr-25,-₦1.66,₦0.00,₦0.00,₦0.00
Kaduna,North West,"₦1,079.80","₦1,191.00","₦1,300.00","₦1,138.89",14-Apr-25,₦2.24,₦1.00,₦0.00,₦1.39
Kano,North West,₦969.38,"₦1,179.43","₦1,250.00","₦1,400.00",14-Apr-25,₦13.63,₦3.00,₦0.00,₦0.00
Katsina,North West,₦975.63,"₦1,170.00","₦1,335.71","₦1,302.00",14-Apr-25,₦0.00,₦0.00,₦7.14,-₦24.00
Kebbi,North West,₦967.38,"₦1,177.14","₦1,250.00","₦1,400.00",14-Apr-25,₦13.50,₦0.71,-₦5.00,₦0.00
Sokoto,North West,₦977.50,"₦1,163.75","₦1,300.00","₦1,146.00",14-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Zamfara,North West,"₦1,081.63","₦1,167.50","₦1,200.00","₦1,196.25",14-Apr-25,₦0.00,₦0.00,₦0.00,₦1.25
Abia,South East,₦955.63,"₦1,272.50","₦1,302.86","₦1,300.00",14-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Anambra,South East,₦947.78,"₦1,189.38","₦1,350.00","₦1,233.33",14-Apr-25,-₦5.97,-₦5.00,₦0.00,-₦16.67
Ebonyi,South East,₦981.43,"₦1,126.67","₦1,500.00","₦1,250.00",14-Apr-25,₦6.43,₦6.67,₦0.00,₦0.00
Enugu,South East,₦961.25,"₦1,262.50","₦1,300.00","₦1,400.00",14-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Imo,South East,₦958.75,"₦1,277.50","₦1,300.00","₦1,300.00",14-Apr-25,₦11.25,₦0.00,₦0.00,₦0.00
Akwa Ibom,South South,₦945.00,"₦1,160.00","₦1,220.00","₦1,108.57",14-Apr-25,-₦12.50,-₦2.86,-₦1.43,₦0.00
Bayelsa,South South,₦981.25,"₦1,161.00",₦0.00,"₦1,100.00",14-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Cross River,South South,₦949.63,"₦1,260.00","₦1,220.00","₦1,300.00",14-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Delta,South South,₦941.67,"₦1,126.67","₦1,350.00","₦1,265.00",14-Apr-25,-₦33.33,-₦25.47,-₦17.00,-₦5.00
Edo,South South,₦972.33,"₦1,200.00",₦0.00,"₦1,295.00",14-Apr-25,₦4.00,₦0.00,₦0.00,-₦5.00
Rivers,South South,₦964.17,"₦1,220.00","₦1,200.00","₦1,325.00",14-Apr-25,-₦4.83,₦0.00,₦0.00,₦12.50
Ekiti,South West,₦955.00,"₦1,143.33","₦1,185.71","₦1,241.67",14-Apr-25,₦8.89,₦0.00,₦0.00,₦16.67
Lagos,South West,₦926.71,"₦1,101.64","₦1,450.00","₦1,110.94",14-Apr-25,-₦1.60,-₦3.30,₦0.00,₦0.00
Ogun,South West,₦936.25,"₦1,123.13","₦1,281.50","₦1,100.00",14-Apr-25,₦1.87,-₦2.50,₦0.00,-₦7.14
Ondo,South West,₦960.13,"₦1,139.00","₦1,305.38","₦1,253.75",14-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Osun,South West,₦934.38,"₦1,118.13","₦1,290.00","₦1,300.00",14-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Oyo,South West,₦934.29,"₦1,110.71","₦1,350.00","₦1,100.00",14-Apr-25,-₦5.09,-₦4.29,₦0.00,₦0.00
,National,₦970.18,"₦1,174.38","₦1,326.39","₦1,232.06",15-Apr-25,₦0.44,-₦0.37,-₦1.12,-₦0.51
Abuja,North Central,₦951.33,"₦1,175.57","₦1,220.00","₦1,217.50",15-Apr-25,-₦0.46,₦5.74,-₦57.25,₦2.50
Benue,North Central,"₦1,003.50","₦1,158.75",₦0.00,"₦1,300.00",15-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Kogi,North Central,₦949.38,"₦1,159.75","₦1,425.00","₦1,291.88",15-Apr-25,₦0.00,₦2.50,₦0.00,-₦12.50
Kwara,North Central,₦982.50,"₦1,200.00","₦1,225.00","₦1,400.00",15-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Nasarawa,North Central,₦988.75,"₦1,166.67","₦1,500.00","₦1,366.67",15-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Niger,North Central,₦962.14,"₦1,155.00","₦1,475.00","₦1,145.00",15-Apr-25,₦11.85,₦0.00,₦0.00,₦0.00
Plateau,North Central,₦971.11,"₦1,288.89","₦1,266.67","₦1,247.78",15-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Adamawa,North East,₦980.56,"₦1,177.22","₦1,265.56","₦1,208.89",15-Apr-25,₦0.56,₦0.00,₦1.12,-₦1.11
Bauchi,North East,₦986.88,"₦1,262.86","₦1,472.86","₦1,197.14",15-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Borno,North East,"₦1,078.13","₦1,202.50","₦1,471.43","₦1,400.00",15-Apr-25,₦0.35,₦0.28,-₦3.57,₦0.00
Gombe,North East,₦967.22,"₦1,168.89","₦1,428.89","₦1,238.89",15-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Taraba,North East,₦986.67,"₦1,195.56","₦1,487.50","₦1,337.50",15-Apr-25,-₦0.55,₦0.00,₦0.00,₦0.00
Yobe,North East,"₦1,016.67","₦1,250.00","₦1,318.89","₦1,180.00",15-Apr-25,₦3.89,₦2.22,₦0.00,₦9.44
Jigawa,North West,₦980.56,"₦1,225.00","₦1,377.50","₦1,132.50",15-Apr-25,₦0.00,₦0.00,₦0.00,-₦47.50
Kaduna,North West,"₦1,077.56","₦1,190.00","₦1,300.00","₦1,137.50",15-Apr-25,-₦2.24,-₦1.00,₦0.00,-₦1.39
Kano,North West,₦969.25,"₦1,177.14","₦1,250.00","₦1,400.00",15-Apr-25,-₦0.13,-₦2.29,₦0.00,₦0.00
Katsina,North West,₦976.25,"₦1,170.00","₦1,321.43","₦1,296.00",15-Apr-25,₦0.62,₦0.00,-₦14.28,-₦6.00
Kebbi,North West,₦967.75,"₦1,176.43","₦1,250.00","₦1,400.00",15-Apr-25,₦0.37,-₦0.71,₦0.00,₦0.00
Sokoto,North West,₦977.50,"₦1,163.75","₦1,200.00","₦1,146.00",15-Apr-25,₦0.00,₦0.00,-₦100.00,₦0.00
Zamfara,North West,"₦1,081.63","₦1,167.50","₦1,200.00","₦1,196.25",15-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Abia,South East,₦955.63,"₦1,272.50","₦1,302.86","₦1,300.00",15-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Anambra,South East,₦955.00,"₦1,200.63","₦1,341.67","₦1,225.00",15-Apr-25,₦7.22,₦11.25,-₦8.33,-₦8.33
Ebonyi,South East,₦973.75,"₦1,120.00","₦1,500.00","₦1,250.00",15-Apr-25,-₦7.68,-₦6.67,₦0.00,₦0.00
Enugu,South East,₦961.25,"₦1,262.50","₦1,300.00","₦1,400.00",15-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Imo,South East,₦959.38,"₦1,277.50","₦1,300.00","₦1,300.00",15-Apr-25,₦0.63,₦0.00,₦0.00,₦0.00
Akwa Ibom,South South,₦943.33,"₦1,150.00","₦1,245.00","₦1,105.00",15-Apr-25,-₦1.67,-₦10.00,₦25.00,-₦3.57
Bayelsa,South South,₦981.25,"₦1,161.00",₦0.00,"₦1,100.00",15-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Cross River,South South,₦966.17,"₦1,283.33","₦1,220.00","₦1,300.00",15-Apr-25,₦16.54,₦23.33,₦0.00,₦0.00
Delta,South South,₦941.67,"₦1,123.33","₦1,350.00","₦1,265.00",15-Apr-25,₦0.00,-₦3.34,₦0.00,₦0.00
Edo,South South,₦973.00,"₦1,200.00","₦1,250.00","₦1,295.00",15-Apr-25,₦0.67,₦0.00,"₦1,250.00",₦0.00
Rivers,South South,₦973.13,"₦1,221.43","₦1,200.00","₦1,330.00",15-Apr-25,₦8.96,₦1.43,₦0.00,₦5.00
Ekiti,South West,₦957.22,"₦1,145.56","₦1,185.71","₦1,241.67",15-Apr-25,₦2.22,₦2.23,₦0.00,₦0.00
Lagos,South West,₦925.78,"₦1,097.77","₦1,450.00","₦1,110.94",15-Apr-25,-₦0.93,-₦3.87,₦0.00,₦0.00
Ogun,South West,₦936.25,"₦1,123.13","₦1,281.50","₦1,100.00",15-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Ondo,South West,₦960.13,"₦1,139.00","₦1,305.38","₦1,253.75",15-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Osun,South West,₦934.38,"₦1,118.13","₦1,290.00","₦1,300.00",15-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Oyo,South West,₦933.13,"₦1,108.13","₦1,350.00","₦1,081.25",15-Apr-25,-₦1.16,-₦2.58,₦0.00,-₦18.75
,National,₦970.02,"₦1,174.72","₦1,319.71","₦1,230.98",16-Apr-25,-₦0.16,₦0.34,-₦6.68,-₦1.08
Abuja,North Central,₦957.19,"₦1,173.22","₦1,195.63","₦1,215.71",16-Apr-25,₦5.86,-₦2.35,-₦24.37,-₦1.79
Benue,North Central,"₦1,008.64","₦1,158.75",₦0.00,"₦1,300.00",16-Apr-25,₦5.14,₦0.00,₦0.00,₦0.00
Kogi,North Central,₦949.38,"₦1,158.50","₦1,425.00","₦1,304.38",16-Apr-25,₦0.00,-₦1.25,₦0.00,₦12.50
Kwara,North Central,₦970.00,"₦1,200.00","₦1,225.00","₦1,400.00",16-Apr-25,-₦12.50,₦0.00,₦0.00,₦0.00
Nasarawa,North Central,₦988.75,"₦1,166.67","₦1,500.00","₦1,366.67",16-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Niger,North Central,₦962.14,"₦1,155.00","₦1,475.00","₦1,145.00",16-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Plateau,North Central,₦971.11,"₦1,288.89","₦1,266.67","₦1,247.78",16-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Adamawa,North East,₦980.00,"₦1,177.22","₦1,265.56","₦1,213.33",16-Apr-25,-₦0.56,₦0.00,₦0.00,₦4.44
Bauchi,North East,₦987.50,"₦1,262.86","₦1,472.86","₦1,197.14",16-Apr-25,₦0.62,₦0.00,₦0.00,₦0.00
Borno,North East,"₦1,077.78","₦1,202.22","₦1,475.00","₦1,400.00",16-Apr-25,-₦0.35,-₦0.28,₦3.57,₦0.00
Gombe,North East,₦967.22,"₦1,168.89","₦1,428.89","₦1,238.89",16-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Taraba,North East,₦986.67,"₦1,195.56","₦1,487.50","₦1,337.50",16-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Yobe,North East,"₦1,011.11","₦1,243.33","₦1,315.56","₦1,177.78",16-Apr-25,-₦5.56,-₦6.67,-₦3.33,-₦2.22
Jigawa,North West,₦980.56,"₦1,225.00","₦1,377.50","₦1,132.50",16-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Kaduna,North West,"₦1,077.56","₦1,190.00","₦1,300.00","₦1,137.50",16-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Kano,North West,₦968.75,"₦1,178.57","₦1,250.00","₦1,400.00",16-Apr-25,-₦0.50,₦1.43,₦0.00,₦0.00
Katsina,North West,₦971.43,"₦1,170.00","₦1,325.00","₦1,315.00",16-Apr-25,-₦4.82,₦0.00,₦3.57,₦19.00
Kebbi,North West,₦967.63,"₦1,177.14","₦1,250.00","₦1,400.00",16-Apr-25,-₦0.12,₦0.71,₦0.00,₦0.00
Sokoto,North West,₦977.50,"₦1,163.75","₦1,300.00","₦1,146.00",16-Apr-25,₦0.00,₦0.00,₦100.00,₦0.00
Zamfara,North West,"₦1,081.63","₦1,167.50","₦1,200.00","₦1,195.00",16-Apr-25,₦0.00,₦0.00,₦0.00,-₦1.25
Abia,South East,₦955.63,"₦1,272.50","₦1,302.86","₦1,293.33",16-Apr-25,₦0.00,₦0.00,₦0.00,-₦6.67
Anambra,South East,₦952.50,"₦1,191.88","₦1,316.67","₦1,216.67",16-Apr-25,-₦2.50,-₦8.75,-₦25.00,-₦8.33
Ebonyi,South East,₦973.75,"₦1,120.00","₦1,500.00","₦1,250.00",16-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Enugu,South East,₦961.88,"₦1,262.50","₦1,300.00","₦1,400.00",16-Apr-25,₦0.63,₦0.00,₦0.00,₦0.00
Imo,South East,₦958.75,"₦1,283.75","₦1,300.00","₦1,300.00",16-Apr-25,-₦0.63,₦6.25,₦0.00,₦0.00
Akwa Ibom,South South,₦942.50,"₦1,157.14","₦1,220.00","₦1,101.43",16-Apr-25,-₦0.83,₦7.14,-₦25.00,-₦3.57
Bayelsa,South South,₦981.25,"₦1,161.00",₦0.00,"₦1,100.00",16-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Cross River,South South,₦966.17,"₦1,283.33","₦1,220.00","₦1,300.00",16-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Delta,South South,₦966.25,"₦1,140.00","₦1,350.00","₦1,260.00",16-Apr-25,₦24.58,₦16.67,₦0.00,-₦5.00
Edo,South South,₦975.00,"₦1,198.13","₦1,237.50","₦1,275.71",16-Apr-25,₦2.00,-₦1.87,-₦12.50,-₦19.29
Rivers,South South,₦972.50,"₦1,225.00","₦1,200.00","₦1,330.00",16-Apr-25,-₦0.63,₦3.57,₦0.00,₦0.00
Ekiti,South West,₦956.11,"₦1,147.78","₦1,185.71","₦1,184.39",16-Apr-25,-₦1.11,₦2.22,₦0.00,-₦57.28
Lagos,South West,₦925.12,"₦1,097.77","₦1,450.00","₦1,110.94",16-Apr-25,-₦0.66,₦0.00,₦0.00,₦0.00
Ogun,South West,₦930.63,"₦1,121.88","₦1,281.50","₦1,100.00",16-Apr-25,-₦5.62,-₦1.25,₦0.00,₦0.00
Ondo,South West,₦960.13,"₦1,139.00","₦1,305.38","₦1,253.75",16-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Osun,South West,₦934.38,"₦1,118.13","₦1,290.00","₦1,300.00",16-Apr-25,₦0.00,₦0.00,₦0.00,₦0.00
Oyo,South West,₦936.88,"₦1,116.88","₦1,350.00","₦1,100.00",16-Apr-25,₦3.75,₦8.75,₦0.00,₦18.75
,National,₦969.00,"₦1,173.93","₦1,324.01","₦1,232.23",17-Apr-25,-₦1.02,-₦0.79,₦4.30,₦1.25
